,Formula_ID,Method Name,MAE score,precision,recall
0,10,linear,0.08720692756830928,0.5,0.5
1,10,DT,0.05355254201778273,0.8333333333333334,0.8333333333333334
2,10,SVM,0.0896865667649549,0.8333333333333334,0.8333333333333334
3,10,Saliency,0.009553560582904248,1.0,1.0
4,10,Feature Ablation,0.01358695879847193,0.8333333333333334,0.8333333333333334
5,10,Integrated Gradients,0.013134264098680142,0.8333333333333334,0.8333333333333334
6,10,Deep Lift,0.009568652147894305,1.0,1.0
7,11,linear,0.09992155834826483,0.42857142857142855,0.42857142857142855
8,11,DT,0.05820271441300855,0.7142857142857143,0.7142857142857143
9,11,SVM,0.10180881403057529,0.2857142857142857,0.2857142857142857
10,11,Saliency,0.012298437706037692,1.0,1.0
11,11,Feature Ablation,0.0130947671610006,1.0,1.0
12,11,Integrated Gradients,0.011906402708361487,1.0,1.0
13,11,Deep Lift,0.015060428983345451,0.8571428571428571,0.8571428571428571
14,12,linear,0.0623385087257321,0.625,0.625
15,12,DT,0.036826581481133644,0.875,0.875
16,12,SVM,0.06864697727189809,0.5,0.5
17,12,Saliency,0.01575791252268021,0.875,0.875
18,12,Feature Ablation,0.014452941005390584,0.875,0.875
19,12,Integrated Gradients,0.015505017433402487,0.875,0.875
20,12,Deep Lift,0.01436954046109049,0.875,0.875
21,13,linear,0.05379249433765964,0.5555555555555556,0.5555555555555556
22,13,DT,0.05614910654859393,0.6666666666666666,0.6666666666666666
23,13,SVM,0.05813415182884653,0.5555555555555556,0.5555555555555556
24,13,Saliency,0.016267009885977055,0.6666666666666666,0.6666666666666666
25,13,Feature Ablation,0.01637695608974934,0.6666666666666666,0.6666666666666666
26,13,Integrated Gradients,0.01614722962615115,0.6666666666666666,0.6666666666666666
27,13,Deep Lift,0.017201608617661276,0.6666666666666666,0.6666666666666666
28,14,linear,0.10743734418101769,0.5,0.5
29,14,DT,0.08626256739622815,0.8,0.8
30,14,SVM,0.10205102611159801,0.5,0.5
31,14,Saliency,0.015343671182186167,0.8,0.8
32,14,Feature Ablation,0.01446713406795504,0.9,0.9
33,14,Integrated Gradients,0.014088275639932991,0.9,0.9
34,14,Deep Lift,0.01556261766985359,0.8,0.8
